lat,lng,control
40.87007,-119.106247,45.56
40.870064,-119.106355,40
40.870094,-119.106383,45.56
40.870115,-119.106271,129
40.870069,-119.106207,45.56
40.87007,-119.106375,35
40.8701,-119.106451,45.56
40.870186,-119.106415,71
40.870191,-119.106333,45.56
40.870031,-119.106297,136
40.870023,-119.1063,45.56
40.870021,-119.106305,64
40.87002,-119.106304,45.56
40.87002,-119.106303,143
40.870141,-119.106259,45.56
40.869971,-119.106299,116
