lat,lng,control
31.567635,130.543656,167
31.5676,130.543429,132
31.567665,130.543236,148
31.567905,130.543274,243
31.567821,130.543197,122
31.56784,130.543144,168
31.567816,130.542964,111
31.567797,130.542971,213
31.567967,130.543272,155
31.568206,130.543241,180
31.568444,130.543177,129
31.568544,130.543018,158
31.568694,130.542873,115
31.568673,130.542683,104
