lat,lng,control
31.568648,130.542467,-106.95
31.568565,130.54247,-48.72
31.568453,130.542468,-46.9
31.568268,130.54253,-42.89
31.568105,130.542612,-40.93
31.567937,130.542693,-40.91
31.56787,130.542695,-55.22
31.567867,130.542722,20.05
31.567758,130.542683,-117.67
31.567823,130.542872,43.44
31.567715,130.543027,-27.72
31.567602,130.543137,-69.37
31.56745,130.543215,-122.71
31.567477,130.543397,-91.15
